breakout_window,atr_buffer,atr_stop_multiple,trend_ema_period,volume_spike_multiplier,final_equity,total_return_pct,max_drawdown_pct,total_trades,win_rate_pct
80,0.5,1.0,80,3.0,31307.74,213.08,14.44,41,56.10
80,0.5,1.0,80,3.5,31087.44,210.87,19.20,48,52.08
80,0.5,1.0,100,2.5,26330.26,163.30,13.45,38,52.63
80,0.5,1.0,100,3.0,31307.74,213.08,14.44,41,56.10
80,0.5,1.0,100,3.5,31087.44,210.87,19.20,48,52.08
80,0.5,1.2,60,2.5,24626.32,146.26,15.90,35,42.86
80,0.5,1.2,60,3.0,28789.69,187.90,17.21,38,47.37
80,0.5,1.2,60,3.5,27610.22,176.10,22.95,45,42.22
80,0.5,1.2,80,2.5,24626.32,146.26,15.90,35,42.86
80,0.5,1.2,80,3.0,28789.69,187.90,17.21,38,47.37
80,0.5,1.2,80,3.5,27610.22,176.10,22.95,45,42.22
80,0.5,1.2,100,2.5,24626.32,146.26,15.90,35,42.86
80,0.5,1.2,100,3.0,28789.69,187.90,17.21,38,47.37
80,0.5,1.2,100,3.5,27610.22,176.10,22.95,45,42.22
80,0.5,1.5,60,2.5,28437.91,184.38,16.15,33,39.39
80,0.5,1.5,60,3.0,33277.08,232.77,16.26,36,41.67
80,0.5,1.5,60,3.5,28844.39,188.44,22.07,43,37.21
80,0.5,1.5,80,2.5,28437.91,184.38,16.15,33,39.39
80,0.5,1.5,80,3.0,33277.08,232.77,16.26,36,41.67
80,0.5,1.5,80,3.5,28844.39,188.44,22.07,43,37.21
80,0.5,1.5,100,2.5,28437.91,184.38,16.15,33,39.39
80,0.5,1.5,100,3.0,33277.08,232.77,16.26,36,41.67
80,0.5,1.5,100,3.5,28844.39,188.44,22.07,43,37.21
80,0.6,1.0,60,2.5,28290.43,182.90,16.30,35,57.14
80,0.6,1.0,60,3.0,33638.45,236.38,16.30,38,60.53
80,0.6,1.0,60,3.5,33573.58,235.74,16.30,44,56.82
80,0.6,1.0,80,2.5,28290.43,182.90,16.30,35,57.14
80,0.6,1.0,80,3.0,33638.45,236.38,16.30,38,60.53
80,0.6,1.0,80,3.5,33573.58,235.74,16.30,44,56.82
80,0.6,1.0,100,2.5,28290.43,182.90,16.30,35,57.14
80,0.6,1.0,100,3.0,33638.45,236.38,16.30,38,60.53
80,0.6,1.0,100,3.5,33573.58,235.74,16.30,44,56.82
80,0.6,1.2,60,2.5,26450.24,164.50,18.78,32,43.75
80,0.6,1.2,60,3.0,30921.97,209.22,18.78,35,48.57
80,0.6,1.2,60,3.5,30595.42,205.95,18.78,41,43.90
80,0.6,1.2,80,2.5,26450.24,164.50,18.78,32,43.75
80,0.6,1.2,80,3.0,30921.97,209.22,18.78,35,48.57
80,0.6,1.2,80,3.5,30595.42,205.95,18.78,41,43.90
80,0.6,1.2,100,2.5,26450.24,164.50,18.78,32,43.75
